"seriesid","date"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2019-12-16"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2020-01-16"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2020-02-17"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2020-03-18"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2020-04-16"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2020-05-18"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2020-06-16"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2020-07-16"
"002acac3-2ce7-5538-8b21-fc873105ad1d","2020-08-17"
"002bec5c-3125-5e77-a8e6-c4e9fab852b2","2019-09-09"
"002bec5c-3125-5e77-a8e6-c4e9fab852b2","2019-10-08"
"002bec5c-3125-5e77-a8e6-c4e9fab852b2","2019-11-08"
"002bec5c-3125-5e77-a8e6-c4e9fab852b2","2019-12-09"
"002bec5c-3125-5e77-a8e6-c4e9fab852b2","2020-01-08"
"002bec5c-3125-5e77-a8e6-c4e9fab852b2","2020-02-10"
"002bec5c-3125-5e77-a8e6-c4e9fab852b2","2020-03-09"
"002bec5c-3125-5e77-a8e6-c4e9fab852b2","2020-04-08"
"002bec5c-3125-5e77-a8e6-c4e9fab852b2","2020-05-11"
"002bec5c-3125-5e77-a8e6-c4e9fab852b2","2020-06-08"
"002bec5c-3125-5e77-a8e6-c4e9fab852b2","2020-07-08"
"002bec5c-3125-5e77-a8e6-c4e9fab852b2","2020-08-10"
"002c10f4-ab63-57fc-9d70-ddb884308781","2019-11-23"
"002c10f4-ab63-57fc-9d70-ddb884308781","2019-12-23"
"002c10f4-ab63-57fc-9d70-ddb884308781","2020-01-23"
"002c10f4-ab63-57fc-9d70-ddb884308781","2020-02-24"
"002c10f4-ab63-57fc-9d70-ddb884308781","2020-03-23"
"002c10f4-ab63-57fc-9d70-ddb884308781","2020-04-23"
